Schedule - Nov'25,,,,,,
SI No,Station,Customer,JS Code,Part No,Weight,Total Schedule given by sales
88,MC/Shop U1,CAT,CAT S69,1344814,13.00, 24 
89,MC/Shop U1,CAT,CAT S69,1344814,13.00, 48 
90,MC/Shop U1,CAT,CAT S71,3156290,40.40, 30 
91,MC/Shop U1,CAT,CAT S71,3156290,40.40, 120 
92,MC/Shop U1,CAT,CAT S73,3943609,93.45, 30 
93,MC/Shop U1,CAT,CAT S76,6Y8675,18.50, 56 
94,MC/Shop U1,CAT,CAT S77,3P8165,16.50, 3 
95,MC/Shop U1,CAT,CAT S80,6081854,38.60, 72 
96,MC/Shop U1,CAT,CAT S81,6081855,45.80, 120 
97,MC/Shop U1,CAT,CAT S83,4218564,28.35, 90 
98,MC/Shop U1,CAT,CAT S84,1306631,443.20, 14 
99,MC/Shop U1,CAT,CAT S88,5730555,76.82, 72 
100,MC/Shop U1,CAT,CAT S90,3707369,78.00, 80 
101,MC/Shop U1,CAT,CAT S91,3707368,48.90, 60 
102,MC/Shop U1,CAT,CAT S92,5692888,115.90, 6 
103,MC/Shop U1,COMER,COM S06,238.0204,0.00, 270 
104,MC/Shop U1,COMER,COM S07,238.0205,0.00, 250 
105,MC/Shop U1,Daimler,DAI S18,A4702232604,7.90, 200 
106,MC/Shop U1,Daimler,DAI S28,A 831 328 06 26,5.50, 448 
107,MC/Shop U1,Daimler,DAI S29,A4003257509,105.00, 600 
108,MC/Shop U1,Daimler,DAI S30,A4003255809,16.80, 600 
109,MC/Shop U1,Daimler,DAI S31,A 470 223 36 04,0.00, 440 
110,MC/Shop U1,DELLNER,DEL S01,VA002454,91.59, 72 
111,MC/Shop U1,DELLNER,DEL S02,VA003956,7.88, 60 
112,MC/Shop U1,FLENDER,FLE 001,A5X01559461,21.95, 13 
113,MC/Shop U1,FLENDER,FLE 002,A5X01559459,48.14, 10 
114,MC/Shop U1,FLENDER,FLE 004,A5X01559488,9.20, 150 
115,MC/Shop U1,FLENDER,FLE 007,A5X01593197,53.30, 45 
116,MC/Shop U1,FLENDER,FLE 008,A5E34816755,56.80, 55 
117,MC/Shop U1,FLENDER,FLE 009,A5E35989917,22.60, 180 
118,MC/Shop U1,FLENDER,FLE 010,A5E34850396,9.10, 139 
119,MC/Shop U1,FLENDER,FLE 011,A5E34850270,50.80, 82 
120,MC/Shop U1,FLENDER,FLE S05,F2E01356628,17.19, 12 
121,MC/Shop U1,FLENDER,FLE S07,F2E01846561,46.45, 252 
122,MC/Shop U1,FLENDER,FLE S08,F2E01846408,34.20, 100 
123,MC/Shop U1,GE,GE S17,451W4202,217.50, 30 
124,MC/Shop U1,GE,GE S18,451W4203,235.00, 30 
125,MC/Shop U1,GIMA,GIM 002,4305626H03,4.88, 700 
126,MC/Shop U1,GIMA,GIM 005,4370282H01,3.26, 860 
127,MC/Shop U1,IRUNA,IRU S08A,1445064,224.00, 178 
128,MC/Shop U1,IRUNA,IRU S09A,1445065,238.40, 76 
129,MC/Shop U1,KOMATSU,KOM S01,5613371934,170.00, 10 
130,MC/Shop U1,KOMATSU,KOM S02,5612272613,300.00, 16 
131,MC/Shop U1,KOMATSU,KOM S03,5610171153,55.80, 7 
132,MC/Shop U1,KOMATSU,KOM S04,5613371921,32.00, 18 
133,MC/Shop U1,KOMATSU,KOM S05,5614081210,69.00, 5 
134,MC/Shop U1,MEDHA TRACTION,MT S01,TSA005743,92.85, 34 
135,MC/Shop U1,PH,POC S03C,006437761R,7.30, 108 
136,MC/Shop U1,PH,POC S03E,A30031S,7.30, 108 
137,MC/Shop U1,PH,POC S04B,001150261J,11.70, 210 
138,MC/Shop U1,PH,POC S07A,A03662F,14.00," 1,440 "
139,MC/Shop U1,PH,POC S07B,000950264V,14.00," 1,080 "
140,MC/Shop U1,PH,POC S08A,002946186B,9.12," 1,056 "
141,MC/Shop U1,PH,POC S08D,A14924W,9.12, 96 
142,MC/Shop U1,PH,POC S10A2,A51394N,10.76, 720 
143,MC/Shop U1,PH,POC S10D2,A51392L,10.76, 96 
144,MC/Shop U1,PH,POC S10E2,A51396Q,10.76, 252 
145,MC/Shop U1,PH,POC S11AE,B21133U,17.10, 288 
146,MC/Shop U1,PH,POC S11B,A49481J,17.10, 48 
147,MC/Shop U1,PH,POC S11B1,A49480H,17.10, 48 
148,MC/Shop U1,PH,POC S15A,A08170F,15.59, 72 
149,MC/Shop U1,PH,POC S16C,A42570W,15.63, 225 
150,MC/Shop U1,PH,POC S16D,A43139Q,15.63, 60 
151,MC/Shop U1,PH,POC S16E,A47792X,15.63, 36 
152,MC/Shop U1,PH,POC S16F,A47739Q,15.63, 72 
153,MC/Shop U1,PH,POC S19A,A36850E,24.60, 480 
154,MC/Shop U1,PH,POC S21A,A28483K,16.40, 72 
155,MC/Shop U1,PH,POC S22A,A18831T,9.10," 1,200 "
156,MC/Shop U1,PH,POC S24,001150240L,16.50, 45 
157,MC/Shop U1,PH,POC S24,001150240L,16.50, 180 
158,MC/Shop U1,PH,POC S24,001150233D,15.54, 192 
159,MC/Shop U1,PH,POC S24B,001050228C,16.50, 192 
160,MC/Shop U1,PH,POC S26,A11955U,35.21, 171 
161,MC/Shop U1,PH,POC S26,000250284X,36.08, 30 
162,MC/Shop U1,PH,POC S26C,000550248V,36.82, 60 
163,MC/Shop U1,PH,POC S26D,A11956V,36.82, 90 
164,MC/Shop U1,PH,POC S26K,B83039J,36.82, 45 
165,MC/Shop U1,PH,POC S27A,009730175C,19.50, 36 
166,MC/Shop U1,PH,POC S28A,A42923F,10.57," 1,350 "
167,MC/Shop U1,PH,POC S29E,A49488R,16.50, 48 
168,MC/Shop U1,PH,POC S31,B03488Q,29.30, 30 
169,MC/Shop U1,PH,POC S31A,000850281T,29.30, 72 
170,MC/Shop U1,PH,POC S31B,000850286Z,29.30, 15 
171,MC/Shop U1,PH,POC S35,B01052S,15.30, 360 
172,MC/Shop U1,PH,POC S36,B08375C,17.10, 192 
173,MC/Shop U1,PH,POC S37,B15405T,15.20, 128 
174,MC/Shop U1,PH,POC S38,A40521U,11.50, 528 
175,MC/Shop U1,PH,POC S38,A40521U,11.50, 288 
176,MC/Shop U1,PH,POC S40,009830117K,29.86, 18 
177,MC/Shop U1,PH,POC S41,B33571P,23.00, 150 
178,MC/Shop U1,PH,POC S42,B94320V,18.00, 390 
179,MC/Shop U1,PH,POC S42C,B83053Z,18.00, 54 
180,MC/Shop U1,PH,POC S45C,B81424D,7.00, 960 
181,MC/Shop U1,PH,POC S46,B66302R,8.33, 100 
182,MC/Shop U1,PH,POC S46,B66313D,8.33, 600 
183,MC/Shop U1,PH,POC S46,B66337E,8.33, 100 
184,MC/Shop U1,PH,POC S46,B66310A,8.33, 200 
185,MC/Shop U1,PH,POC S46,B66308X,8.33, 100 
186,MC/Shop U1,PH,POC S47,008930192F,41.26, 93 
187,MC/Shop U1,PH,POC S48,A16242E,23.30, 544 
188,MC/Shop U1,PH,POC S48,A16242E,23.30, 64 
189,MC/Shop U1,PH,POC S49,B74682A,11.86, 324 
190,MC/Shop U1,PH,POC S52,B85985L,12.48, 675 
191,MC/Shop U1,PH,POC S52,B76014X,12.48, 382 
192,MC/Shop U1,PH,POC S53,B81846M,17.10, 84 
193,MC/Shop U1,PH,POC S59,B90246S,16.77, 48 
194,MC/Shop U1,PH,POC S59,B93462N,16.77, 240 
195,MC/Shop U1,TEL,TEL S95A,104441010017,1.88, 200 
196,MC/Shop U1,VESTAS,VES S01,29058191,64.32, 99 
197,MC/Shop U1,VESTAS,VES S01,726105,64.32, 77 
198,MC/Shop U1,VESTAS,VES S01,29095703,64.32, 242 
199,MC/Shop U1,VESTAS,VES S01,29095702,64.32, 55 
200,MC/Shop U1,VESTAS,VES S02,76401062,139.40, 18 
201,MC/Shop U1,VESTAS,VES S03,763405,141.00, 18 
202,MC/Shop U1,VESTAS,VES S04,762572,46.90, 8 
203,MC/Shop U1,VESTAS,VES S05,762571,35.10, 32 
204,MC/Shop U1,VESTAS,VES S06,29000634,25.20, 24 
205,MC/Shop U1,VESTAS,VES S07,29000636,30.80, 90 
206,MC/Shop U1,VESTAS,VES S08,29008310,47.90, 84 
207,MC/Shop U1,VESTAS,VES S08,29008310,47.90, 18 
208,MC/Shop U1,VESTAS,VES S09A,29012305,47.20, 36 
209,MC/Shop U1,VESTAS,VES S10,76400595,118.00, 5 
210,MC/Shop U1,VESTAS,VES S11,722040,158.20, 10 
211,MC/Shop U1,VESTAS,VES S12,764751,61.00, 24 
212,MC/Shop U1,VESTAS,VES S13,763151,105.00, 8 
213,MC/Shop U1,VESTAS,VES S13,763151,105.00, 56 
214,MC/Shop U1,VESTAS,VES S14,29081696,13.34, 56 
215,MC/Shop U1,VESTAS,VES S15,29081697,13.34, 120 
216,MC/Shop U1,VESTAS,VES S22,29082308,24.20, 24 
217,MC/Shop U1,VESTAS,VES S22,29082308,24.20, 120 
218,MC/Shop U1,VESTAS,VES S25,29059454,29.00, 48 
219,MC/Shop U1,VESTAS,VES S27,29080402,29.20, 8 
220,MC/Shop U1,VESTAS,VES S27,29080402,29.20, 80 
221,MC/Shop U1,VESTAS,VES S28 ,29082599,34.80, 12 
222,MC/Shop U1,VESTAS,VES S28 ,29082599,34.80, 84 
223,MC/Shop U1,VESTAS,VES S30,29059014,47.20, 48 
224,MC/Shop U1,VESTAS,VES S32,29081833,52.00, 30 
225,MC/Shop U1,VESTAS,VES S32,29120616,52.00, 11 
226,MC/Shop U1,VESTAS,VES S33,29081190,51.77, 16 
227,MC/Shop U1,VESTAS,VES S34,29107967,74.20, 120 
228,MC/Shop U1,VESTAS,VES S35,29117671,51.10, 114 
229,MC/Shop U1,VESTAS,VES S36,29120280,58.00, 8 
230,MC/Shop U1,VESTAS,VES S36,29111360,58.00, 216 
231,MC/Shop U1,VESTAS,VES S38,29082564,34.90, 21 
232,MC/Shop U1,VESTAS,VES S38,29082564,34.90, 30 
233,MC/Shop U1,VESTAS,VES S45,29080403,29.90, 8 
234,MC/Shop U1,VESTAS,VES S45,29080403,29.90, 88 
235,MC/Shop U1,VESTAS,VES S46,29080404,29.90, 16 
236,MC/Shop U1,VESTAS,VES S46,29080404,29.10, 104 
237,MC/Shop U1,VESTAS,VES S48,29059832,34.90, 30 
238,MC/Shop U1,VESTAS,VES S49 A,29131216,74.00, 72 
239,MC/Shop U1,VESTAS,VES S50,761822,22.50, 168 
240,MC/Shop U1,VESTAS,VES S51,29175577,66.24, 12 
241,MC/Shop U1,VESTAS,VES S52,29174752,102.12, 24 
242,MC/Shop U1,VESTAS,VES S63,10204281,185.27, 12 
243,MC/Shop U1,VESTAS,VES S63,10204281,185.27, 108 
244,MC/Shop U1,VESTAS,VES S64,29108451,175.00, 150 
245,MC/Shop U1,VESTAS,VES S65,29108438,422.00, 24 
246,MC/Shop U1,VESTAS,VES S65,29108438,422.00, 116 
247,MC/Shop U1,VESTAS,VES S67A,29231725,64.32, 55 
248,MC/Shop U1,VESTAS,VES S70,29271916,568.00, 56 
249,MC/Shop U1,ZF,ZF 010,4178.304.101,42.02, 25 
250,MC/Shop U1,ZF,ZF S02,4475.319.315,35.60, 528 
251,MC/Shop U1,ZF,ZF S03,4475.319.310,35.73, 384 
252,MC/Shop U1,ZF,ZF S06,4178.301.087,2.40, 25 
253,MC/Shop U1,ZF,ZF S08,4178.303.015,57.00, 25 
254,MC/Shop U1,ZF,ZF S11,4178.305.014,5.50, 25 
255,MC/Shop U1,ZF,ZF S12,4178.303.038,25.40, 25 
